\\ec\\c\\2Befehl    |LV|Anzeigetext fuer ?  |Azeigetext fuer H                 Gateway-5
\\3      QPOR|00|Quick-Port          |Belegte Ports dauerhaft anzeigen           
\\3         R|00|Rufe Brett auf      |Brettaufruf mit Frage                [param
§%§L=>90§%§SYSOP§%§GR_2\\3      RAUS|90|Rauswurf eines Ports|User auf einem anderen Port rauswerfen  [po
§%§L=>98§%§COSYS\\3  RAUSWURF|98|Rauswurf! KEIN GAME!|User aus der Box werfen (Kein GAME-Befehl) 
§%§L=>50§%§VFLAG\\3        RB|50|Rundbrief versenden |Rundbrief verschicken                      
§%§L=>90§%§COSYS\\3      RB_I|90|Inhalt Rundbriefe   |Anzeige aller Rundbriefe in der Box  [param
§%§L=>90§%§COSYS\\3      RB_K|90|Loesche Rundbriefe  |Loesche bestimmte Rundbriefe         [param
§%§L=>90§%§COSYS\\3      RB_L|90|Lese Rundbriefe     |Rundbriefe kontrollieren             [param
§%§L=>80§%§GR_3\\3    REBOOT|80|System rebooten!    |Gesamtes Boxsystem rebooten! *** Vorsicht! 
§%§L=>20§%§BV\\3    REKALK|20|Groesse errechnen   |Groesse der Bretteintr.neu ermitteln [param
§%§L=>20\\3       REL|20|Relog durchfuehren  |Relog auf anderes Pseudo durchfuehren      
§%§L=>90§%§COSYS\\3 RELOGLAST|90|Anzeige Relogp. (25)|Anzeige der letzten 25 Relogs              
§%§L=>90§%§COSYS\\3 RELOGPROT|90|Anzeige Relogprot.  |Anzeige des Relog-Protokolles              
§%§L=>20§%§BV\\3    REPACK|20|Archive neu packen  |Archive in Binaerfiles neu packen    [param
§%§L=>95§%§COSYS§%§GR_5\\3     RESET|95|Resette Port        |Resette Port falls das Modem haengt     [po
§%§L=>20§%§SYSOP\\3        RU|20|Ruf zum Multi-Chat  |Einen anderen User in den Multi-Chat rufen 
§%§L=>10\\3         S|10|Schreiben           |Nachricht schreiben (Brett o. Post)   [user
\\3        SE|00|Area zeigen/starten |Sectoren anzeigen oder aufrufen     [Sector
§%§L=>85§%§GR_3\\3  SEKTORED|85|Sektor-Editor       |Online-Editor fuer die Sektor-Daten        
§%§L=>70\\3       SEL|70|Selektiere Userliste|Selektierte Userliste nach Parametern [user
§%§L=>70\\3     SELEC|70|Selektion aus UListe|Slektierte Userlisten erstellen (Crew o. Ve
